Accession,Description,Symbol,Peptides,PD_Detected_Peptides,Unique,100011 WT_EZR Normalized,100012 WT_EZR Normalized,100013 WT_EZR Normalized,100005 WT_CYT Normalized,100006 WT_CYT Normalized,100007 WT_CYT Normalized,100017_1 SPQC Normalized,100017_2 SPQC Normalized,100017_3 SPQC Normalized,WT_EZR_CV,WT_CYT_CV,SPQC_CV,WT_EZR_v_WT_CYT_FC,WT_EZR_v_WT_CYT_pval,Stats
Q9DD03,Ras-related protein Rab-13 OS,Rab13,1,1.-.1.-.-.1,1,12604525.73,881407.7579,46466.62213,3763.933834,1216.535139,11632.95529,478926.3036,22826.50091,9223541.491,156,98.1,160,814.5461,0.06454427,
Q6GV12,3-ketodihydrosphingosine reductase OS,Kdsr,1,1.-.1.-.1.-,1,464628.6115,461270.9334,563903.1882,2489.599407,2032.039017,2243.26119,406994.2184,510778.1225,420466.2076,11.7,10.2,12.7,220.2254,5.00E-07,Up
Q91YQ3,Cold shock domain-containing protein C2 OS,Csdc2,1,1.1.1.-.1.-,1,193849.695,283176.9976,184278.9336,1103.067733,1062.677175,1283.817932,171292.0385,211905.0591,204739.9956,24.7,10.2,11.1,191.7071,0.00010857,Up
Q78TU8,Actin-associated protein FAM107A OS,Fam107a,1,-.1.1.-.-.1,1,233838.2387,322072.2118,190453.085,1492.190724,1775.916814,1081.636455,285426.8697,353069.8861,203884.0618,27,24.1,26.6,171.5879,1.72E-05,Up
P26041,Moesin OS,Msn,20,20.18.20.14.15.17,20,500188921.6,587465537.5,538206025.7,3401427.269,3336264.509,3774553.287,259176823.2,293461297.3,324121768.5,8.07,6.75,11.1,154.6635,1.96E-07,Up
Q9CQX2,Cytochrome b5 type B OS,Cyb5b,1,1.-.1.-.-.-,1,417029.7868,527534.265,718763.3336,1159.794234,7481.73391,4102.085835,4408.913268,5974.036326,4396.963473,27.5,74.5,18.4,130.5224,0.007520719,Up
O08638,Myosin-11 OS,Myh11,1,1.1.1.-.-.-,1,240078.1454,301782.5127,150791.8076,2548.430148,1168.008478,1658.924277,36339.46079,41848.65414,50979.92069,32.9,39.1,17.2,128.8569,9.53E-05,Up
P26040,Ezrin OS,Ezr,138,137.135.137.75.79.73,97,6547104509,7195120892,6128889296,76672273.45,63928255.15,55929032.66,3529991264,3560347806,3538915286,8.11,16,0.44,101.1101,2.61E-05,Up
Q8C3Q5,Protein shisa-7 OS,Shisa7,3,2.2.3.3.3.3,3,28142587.6,158235.9534,736750.2153,110239.6661,90524.24771,92150.8054,104770.7243,127286.3821,116236.1648,165,11.2,9.7,99.1332,0.2177444,
P26043,Radixin OS,Rdx,41,40.39.38.29.23.29,39,642569293.7,766649282.3,513512672.3,7004930.742,6308683.637,8519324.124,342271223.1,411638246.4,398971240.6,19.7,15.5,9.61,88.06562,1.27E-05,Up
Q922B6,E3 ubiquitin-protein ligase TRAF7 OS,Traf7,1,1.1.1.-.-.-,1,72440.3049,110903.7313,75200.55101,1057.96416,1322.381538,871.930385,43928.4583,38206.36105,37981.7855,24.9,20.9,8.42,79.49651,2.01E-05,Up
O54950,5'-AMP-activated protein kinase subunit gamma-1 OS,Prkag1,2,1.1.-.1.2.1,2,445220.1191,196139.7408,299017.2988,4738.732164,10971.28435,4197.160348,114293.2031,72854.16213,74318.69201,39.9,56.7,27,47.2381,0.000699165,Up
Q6ZQI3,Malectin OS,Mlec,2,2.2.1.1.2.1,2,581831.9035,558764.2208,478240.8929,16107.84764,27239.73232,13798.00225,515425.7017,459883.9315,237141.3463,10.1,37.7,36.4,28.3283,0.001998326,Up
P98203,Splicing regulator ARVCF OS,Arvcf,1,1.1.-.-.-.-,1,127695.7596,66849.12289,81153.00756,3193.052407,3780.075437,3224.07973,41263.11819,2022.528426,5793.488582,34.6,9.72,132,27.03661,0.001884706,Up
Q923M0,Protein phosphatase 1 regulatory subunit 16A OS,Ppp1r16a,1,1.1.1.-.-.-,1,48012.40829,49772.49968,23308.28315,1048.531581,2648.406583,936.9925483,34683.31451,37085.59734,31498.91067,36.7,62,8.14,26.13185,0.001745494,Up
Q8K4L3,Supervillin OS,Svil,3,3.3.2.1.1.-,3,259601.9812,348720.5807,286637.5544,5833.870958,22001.15837,7113.919991,104238.3626,87874.69909,24483.60503,15.3,77.1,58.3,25.60764,0.01160083,Up
